"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 25 10:13:30 UTC 2023","Fri Aug 25 10:13:30 UTC 2023","86","","Check login page defaults","","","","Check h2 header displayed",""
"passed","Fri Aug 25 10:13:25 UTC 2023","Fri Aug 25 10:13:26 UTC 2023","158","","Verify Add Remove elements","","","","Add element",""
"passed","Fri Aug 25 10:13:25 UTC 2023","Fri Aug 25 10:13:25 UTC 2023","123","","Verify broken images","","","","Verify Title",""
"passed","Fri Aug 25 10:13:26 UTC 2023","Fri Aug 25 10:13:27 UTC 2023","1136","","Verify Add Remove elements","","","","Remove element",""
"passed","Fri Aug 25 10:13:25 UTC 2023","Fri Aug 25 10:13:25 UTC 2023","44","","Check Add Remove elements page defaults","","","","Verify Add button",""
"passed","Fri Aug 25 10:13:30 UTC 2023","Fri Aug 25 10:13:30 UTC 2023","63","","Check login page defaults","","","","Verify Footer link",""
"passed","Fri Aug 25 10:13:25 UTC 2023","Fri Aug 25 10:13:26 UTC 2023","1059","","Basic Auth in modal","","","","Login with correct credential",""
"passed","Fri Aug 25 10:13:30 UTC 2023","Fri Aug 25 10:13:30 UTC 2023","55","","Check login page defaults","","","","Ispect footer text",""
"passed","Fri Aug 25 10:13:25 UTC 2023","Fri Aug 25 10:13:25 UTC 2023","127","","Check Add Remove elements page defaults","","","","Check h3 header displayed",""
